,0
0,0.049038708209991455
1,0.26406049728393555
2,0.2634888291358948
3,0.25383028388023376
4,0.06680959463119507
5,0.2605913281440735
6,0.2025551199913025
7,0.2425098419189453
8,0.2632824778556824
9,0.2620241045951843
10,0.21929877996444702
11,0.22687095403671265
12,0.2259935736656189
13,0.26121628284454346
14,0.13063104450702667
15,0.2625529170036316
16,0.06920671463012695
17,0.2638246417045593
18,0.23711225390434265
19,0.124417245388031
20,0.28668084740638733
21,0.2639757990837097
22,0.26390618085861206
23,0.236444354057312
24,0.2552453279495239
25,-0.0045477766543626785
26,0.2581585943698883
27,0.25170964002609253
28,0.2267628312110901
29,0.22962194681167603
30,0.2263515591621399
31,0.22977107763290405
32,0.229783833026886
33,0.22872823476791382
34,0.227924644947052
35,0.22933894395828247
36,0.2297147512435913
37,0.229678213596344
38,0.26361942291259766
39,0.2627567648887634
40,0.16715478897094727
41,0.2619166076183319
42,0.623999297618866
43,0.22802644968032837
44,0.22795891761779785
45,0.22091716527938843
46,0.2238311767578125
47,0.22532856464385986
48,0.22462749481201172
49,0.2882971167564392
50,0.2267959713935852
51,0.22844481468200684
52,0.2291542887687683
53,0.22962456941604614
54,0.22151166200637817
55,0.33261168003082275
56,0.29827845096588135
57,0.30368679761886597
58,0.2090572714805603
59,0.5611621141433716
60,0.2179139256477356
61,0.2297651767730713
62,0.22966820001602173
63,0.2970343232154846
64,0.28868019580841064
65,0.19502323865890503
66,0.2522355914115906
67,0.2295684814453125
68,0.22823446989059448
69,0.21143513917922974
70,0.29955679178237915
71,0.2273203730583191
72,0.39166247844696045
73,0.29815685749053955
74,0.2764208912849426
75,0.30828791856765747
76,0.3059224486351013
77,0.30304354429244995
78,0.21333962678909302
79,0.30002230405807495
80,0.3013913631439209
81,0.3065863251686096
82,0.3081105351448059
83,0.18511861562728882
84,0.18996602296829224
85,0.3048820495605469
86,0.2842239737510681
87,0.28131359815597534
88,0.1958237886428833
89,0.20327293872833252
90,0.3052746653556824
91,0.30774784088134766
92,0.18349558115005493
93,0.13913953304290771
94,0.1479688584804535
95,0.3074309229850769
96,0.28189992904663086
97,0.21380621194839478
98,0.18891030550003052
99,0.31956222653388977
100,0.3034692108631134
101,0.4084019064903259
102,0.27621614933013916
103,0.30158692598342896
104,0.3061975836753845
105,0.2301601767539978
106,0.2371917963027954
107,0.1373240053653717
108,0.21059542894363403
109,0.2990979552268982
